normalized_name,normalized_province,geometry_id,province,province_code
bodio lomnago,varese,012016,Varese,12
boffalora d adda,lodi,098003,Lodi,98
boffalora sopra ticino,milano,015026,Milano,215
bolgare,bergamo,016028,Bergamo,16
bollate,milano,015027,Milano,215
boltiere,bergamo,016029,Bergamo,16
bonate sopra,bergamo,016030,Bergamo,16
bonate sotto,bergamo,016031,Bergamo,16
bonemerse,cremona,019006,Cremona,19
bordolano,cremona,019007,Cremona,19
borgarello,pavia,018015,Pavia,18
borghetto lodigiano,lodi,098004,Lodi,98
borgo di terzo,bergamo,016032,Bergamo,16
borgo mantovano,mantova,020072,Mantova,20
borgo priolo,pavia,018016,Pavia,18
borgo san giacomo,brescia,017020,Brescia,17
borgo san giovanni,lodi,098005,Lodi,98
borgo san siro,pavia,018018,Pavia,18
borgo virgilio,mantova,020071,Mantova,20
borgocarbonara,mantova,020073,Mantova,20
borgoratto mormorolo,pavia,018017,Pavia,18
borgosatollo,brescia,017021,Brescia,17
bormio,sondrio,014009,Sondrio,14
bornasco,pavia,018019,Pavia,18
borno,brescia,017022,Brescia,17
bosisio parini,lecco,097009,Lecco,97
bosnasco,pavia,018020,Pavia,18
bossico,bergamo,016033,Bergamo,16
bottanuco,bergamo,016034,Bergamo,16
botticino,brescia,017023,Brescia,17
bovegno,brescia,017024,Brescia,17
bovezzo,brescia,017025,Brescia,17
bovisio masciago,monza e brianza,108010,Monza e Brianza,108
bozzolo,mantova,020007,Mantova,20
bracca,bergamo,016035,Bergamo,16
brallo di pregola,pavia,018021,Pavia,18
brandico,brescia,017026,Brescia,17
branzi,bergamo,016036,Bergamo,16
braone,brescia,017027,Brescia,17
brebbia,varese,012017,Varese,12
bregnano,como,013028,Como,13
brembate,bergamo,016037,Bergamo,16
brembate di sopra,bergamo,016038,Bergamo,16
brembio,lodi,098006,Lodi,98
breme,pavia,018022,Pavia,18
brenna,como,013029,Como,13
breno,brescia,017028,Brescia,17
brenta,varese,012019,Varese,12
brescia,brescia,017029,Brescia,17
bressana bottarone,pavia,018023,Pavia,18
bresso,milano,015032,Milano,215
brezzo di bedero,varese,012020,Varese,12
brienno,como,013030,Como,13
brignano gera d adda,bergamo,016040,Bergamo,16
brinzio,varese,012021,Varese,12
brione,brescia,017030,Brescia,17
briosco,monza e brianza,108011,Monza e Brianza,108
brissago valtravaglia,varese,012022,Varese,12
brivio,lecco,097010,Lecco,97
broni,pavia,018024,Pavia,18
brugherio,monza e brianza,108012,Monza e Brianza,108
brumano,bergamo,016041,Bergamo,16
brunate,como,013032,Como,13
brunello,varese,012023,Varese,12
brusaporto,bergamo,016042,Bergamo,16
brusimpiano,varese,012024,Varese,12
bubbiano,milano,015035,Milano,215
buccinasco,milano,015036,Milano,215
buglio in monte,sondrio,014010,Sondrio,14
buguggiate,varese,012025,Varese,12
bulciago,lecco,097011,Lecco,97
bulgarograsso,como,013034,Como,13
burago di molgora,monza e brianza,108013,Monza e Brianza,108
buscate,milano,015038,Milano,215
busnago,monza e brianza,108051,Monza e Brianza,108
bussero,milano,015040,Milano,215
busto arsizio,varese,012026,Varese,12
busto garolfo,milano,015041,Milano,215
cabiate,como,013035,Como,13
cadegliano viconago,varese,012027,Varese,12
cadorago,como,013036,Como,13
cadrezzate con osmate,varese,012143,Varese,12
caglio,como,013037,Como,13
caino,brescia,017031,Brescia,17
caiolo,sondrio,014011,Sondrio,14
cairate,varese,012029,Varese,12
calcinate,bergamo,016043,Bergamo,16
calcinato,brescia,017032,Brescia,17
calcio,bergamo,016044,Bergamo,16
calco,lecco,097012,Lecco,97
calolziocorte,lecco,097013,Lecco,97
calusco d adda,bergamo,016046,Bergamo,16
calvagese della riviera,brescia,017033,Brescia,17
calvatone,cremona,019009,Cremona,19
calvenzano,bergamo,016047,Bergamo,16
calvignano,pavia,018025,Pavia,18
calvignasco,milano,015042,Milano,215
calvisano,brescia,017034,Brescia,17
cambiago,milano,015044,Milano,215
camerata cornello,bergamo,016048,Bergamo,16
camisano,cremona,019010,Cremona,19
campagnola cremasca,cremona,019011,Cremona,19
camparada,monza e brianza,108014,Monza e Brianza,108
campione d italia,como,013040,Como,13
campodolcino,sondrio,014012,Sondrio,14
campospinoso albaredo,pavia,018026,Pavia,18
candia lomellina,pavia,018027,Pavia,18
canegrate,milano,015046,Milano,215
canneto pavese,pavia,018029,Pavia,18
canneto sull oglio,mantova,020008,Mantova,20
canonica d adda,bergamo,016049,Bergamo,16
canta1,como,013041,Como,13
cantello,varese,012030,Varese,12
canzo,como,013042,Como,13
capergnanica,cremona,019012,Cremona,19
capiago intimiano,como,013043,Como,13
capizzone,bergamo,016050,Bergamo,16
capo di ponte,brescia,017035,Brescia,17
caponago,monza e brianza,108052,Monza e Brianza,108
capovalle,brescia,017036,Brescia,17
cappella cantone,cremona,019013,Cremona,19
cappella de picenardi,cremona,019014,Cremona,19
capralba,cremona,019015,Cremona,19
capriano del colle,brescia,017037,Brescia,17
capriate san gervasio,bergamo,016051,Bergamo,16
caprino bergamasco,bergamo,016052,Bergamo,16
capriolo,brescia,017038,Brescia,17
carate brianza,monza e brianza,108015,Monza e Brianza,108
carate urio,como,013044,Como,13
caravaggio,bergamo,016053,Bergamo,16
caravate,varese,012031,Varese,12
carbonara al ticino,pavia,018030,Pavia,18
carbonate,como,013045,Como,13
cardano al campo,varese,012032,Varese,12
carenno,lecco,097014,Lecco,97
carimate,como,013046,Como,13
carlazzo,como,013047,Como,13
carnago,varese,012033,Varese,12
carnate,monza e brianza,108016,Monza e Brianza,108
carobbio degli angeli,bergamo,016055,Bergamo,16
carona,bergamo,016056,Bergamo,16
caronno pertusella,varese,012034,Varese,12
caronno varesino,varese,012035,Varese,12
carpenedolo,brescia,017039,Brescia,17
carpiano,milano,015050,Milano,215
carugate,milano,015051,Milano,215
carugo,como,013048,Como,13
carvico,bergamo,016057,Bergamo,16
casalbuttano ed uniti,cremona,019016,Cremona,19
casale cremasco vidolasco,cremona,019017,Cremona,19
casale litta,varese,012036,Varese,12
casaletto ceredano,cremona,019018,Cremona,19
casaletto di sopra,cremona,019019,Cremona,19
casaletto lodigiano,lodi,098008,Lodi,98
casaletto vaprio,cremona,019020,Cremona,19
casalmaggiore,cremona,019021,Cremona,19
casalmaiocco,lodi,098009,Lodi,98
casalmorano,cremona,019022,Cremona,19
casalmoro,mantova,020010,Mantova,20
casaloldo,mantova,020011,Mantova,20
casalpusterlengo,lodi,098010,Lodi,98
casalromano,mantova,020012,Mantova,20
casalzuigno,varese,012037,Varese,12
casanova lonati,pavia,018031,Pavia,18
casargo,lecco,097015,Lecco,97
casarile,milano,015055,Milano,215
casatenovo,lecco,097016,Lecco,97
casatisma,pavia,018032,Pavia,18
casazza,bergamo,016058,Bergamo,16
casciago,varese,012038,Varese,12
casei gerola,pavia,018033,Pavia,18
caselle landi,lodi,098011,Lodi,98
caselle lurani,lodi,098012,Lodi,98
casirate d adda,bergamo,016059,Bergamo,16
caslino d erba,como,013052,Como,13
casnate con bernate,como,013053,Como,13
casnigo,bergamo,016060,Bergamo,16
casorate primo,pavia,018034,Pavia,18
casorate sempione,varese,012039,Varese,12
casorezzo,milano,015058,Milano,215
caspoggio,sondrio,014013,Sondrio,14
cassago brianza,lecco,097017,Lecco,97
cassano d adda,milano,015059,Milano,215
cassano magnago,varese,012040,Varese,12
cassano valcuvia,varese,012041,Varese,12
cassiglio,bergamo,016061,Bergamo,16
cassina de pecchi,milano,015060,Milano,215
cassina rizzardi,como,013055,Como,13
cassina valsassina,lecco,097018,Lecco,97
cassinetta di lugagnano,milano,015061,Milano,215
cassolnovo,pavia,018035,Pavia,18
castana,pavia,018036,Pavia,18
castano primo,milano,015062,Milano,215
casteggio,pavia,018037,Pavia,18
castegnato,brescia,017040,Brescia,17
castel d ario,mantova,020014,Mantova,20
castel gabbiano,cremona,019024,Cremona,19
castel goffredo,mantova,020015,Mantova,20
castel mella,brescia,017042,Brescia,17
castel rozzone,bergamo,016063,Bergamo,16
castelbelforte,mantova,020013,Mantova,20
castelcovati,brescia,017041,Brescia,17
casteldidone,cremona,019023,Cremona,19
castelgerundo,lodi,098062,Lodi,98
castellanza,varese,012042,Varese,12
castelleone,cremona,019025,Cremona,19
castelletto di branduzzo,pavia,018038,Pavia,18
castelli calepio,bergamo,016062,Bergamo,16
castello cabiaglio,varese,012043,Varese,12
castello d agogna,pavia,018039,Pavia,18
castello dell acqua,sondrio,014014,Sondrio,14
castello di brianza,lecco,097019,Lecco,97
castellucchio,mantova,020016,Mantova,20
castelmarte,como,013058,Como,13
castelnovetto,pavia,018040,Pavia,18
castelnuovo bocca d adda,lodi,098013,Lodi,98
castelnuovo bozzente,como,013059,Como,13
castelseprio,varese,012044,Varese,12
castelveccana,varese,012045,Varese,12
castelverde,cremona,019026,Cremona,19
castelvisconti,cremona,019027,Cremona,19
castenedolo,brescia,017043,Brescia,17
castiglione d adda,lodi,098014,Lodi,98
castiglione delle stiviere,mantova,020017,Mantova,20
castiglione olona,varese,012046,Varese,12
castione andevenno,sondrio,014015,Sondrio,14
castione della presolana,bergamo,016064,Bergamo,16
castiraga vidardo,lodi,098015,Lodi,98
casto,brescia,017044,Brescia,17
castrezzato,brescia,017045,Brescia,17
castro,bergamo,016065,Bergamo,16
castronno,varese,012047,Varese,12
cava manara,pavia,018041,Pavia,18
cavargna,como,013062,Como,13
