election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
assemblea_costituente_1946,1946,1946-06-02,016023,Berbenno,Bergamo,Lombardia,016023,historical,observed_opendata_zip,74.86338797814209,1098.0,822.0,698,822,DC,58.30945558739254,Psiup,17.908309455587393,40.40114613180515,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016024,Bergamo,Bergamo,Lombardia,016024,historical,observed_opendata_zip,92.99216743503437,62687.0,58294.0,55375,58294,DC,45.921444695259595,Psiup,23.246952595936797,22.674492099322798,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016027,Blello,Bergamo,Lombardia,016027,historical,observed_opendata_zip,65.97938144329896,97.0,64.0,63,64,DC,71.42857142857143,Un.Democ.Nazionale,7.936507936507936,63.492063492063494,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016028,Bolgare,Bergamo,Lombardia,016028,historical,observed_opendata_zip,94.9901768172888,1018.0,967.0,876,967,DC,83.67579908675799,Psiup,7.191780821917808,76.48401826484019,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016029,Boltiere,Bergamo,Lombardia,016029,historical,observed_opendata_zip,94.59247648902821,1276.0,1207.0,1108,1207,DC,54.24187725631769,Psiup,25.63176895306859,28.610108303249103,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016030,Bonate Sopra,Bergamo,Lombardia,016030,historical,observed_opendata_zip,95.20316027088036,1772.0,1687.0,1514,1687,DC,71.26816380449141,Psiup,9.04887714663144,62.21928665785997,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016031,Bonate Sotto,Bergamo,Lombardia,016031,historical,observed_opendata_zip,94.43084455324357,1634.0,1543.0,1418,1543,DC,48.30747531734838,Psiup,25.317348377997178,22.9901269393512,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,borgounito-bergamo,Borgounito,Bergamo,Lombardia,,historical,observed_opendata_zip,76.39593908629442,2364.0,1806.0,1640,1806,DC,73.78048780487805,Psiup,17.256097560975608,56.524390243902445,centro,official_eligendo_opendata_zip|geometry_join_unresolved|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016033,Bossico,Bergamo,Lombardia,016033,historical,observed_opendata_zip,90.65934065934066,546.0,495.0,444,495,DC,85.13513513513513,Psiup,6.081081081081082,79.05405405405405,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016034,Bottanuco,Bergamo,Lombardia,016034,historical,observed_opendata_zip,95.87813620071685,1116.0,1070.0,972,1070,DC,73.35390946502058,Psiup,15.74074074074074,57.61316872427984,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016035,Bracca di Costa Serina,Bergamo,Lombardia,016035,historical,observed_opendata_zip,86.78251711427068,1899.0,1648.0,1363,1648,DC,70.06603081438004,Psiup,10.78503301540719,59.28099779897285,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016036,Branzi,Bergamo,Lombardia,016036,historical,observed_opendata_zip,93.36650082918739,603.0,563.0,521,563,DC,69.28982725527831,Psiup,9.596928982725528,59.69289827255278,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
