election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
camera_2013,2013,2013-02-24,097075,Sirone,Lecco,Lombardia,097075,historical,observed_opendata_zip,82.29223248234655,1841.0,1515.0,1461,1515,PD,23.887748117727583,M5S,19.917864476386036,3.9698836413415464,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097076,Sirtori,Lecco,Lombardia,097076,historical,observed_opendata_zip,76.95004382120946,2282.0,1756.0,1698,1756,Il Popolo della Liberta',25.02944640753828,PD,18.84570082449941,6.183745583038871,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097079,Taceno,Lecco,Lombardia,097079,historical,observed_opendata_zip,77.63819095477386,398.0,309.0,292,309,Il Popolo della Liberta',28.767123287671232,Lega,25.34246575342466,3.424657534246574,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,016215,Torre De' Busi,Lecco,Lombardia,016215,historical,observed_opendata_zip,71.05263157894737,1596.0,1134.0,1076,1134,Lega,22.02602230483271,M5S,20.53903345724907,1.4869888475836426,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097082,Valgreghentino,Lecco,Lombardia,097082,historical,observed_opendata_zip,82.24474474474475,2664.0,2191.0,2084,2191,PD,26.19961612284069,M5S,18.857965451055662,7.341650671785029,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097084,Varenna,Lecco,Lombardia,097084,historical,observed_opendata_zip,78.35051546391753,679.0,532.0,502,532,Il Popolo della Liberta',24.10358565737052,PD,21.51394422310757,2.5896414342629512,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097086,Vercurago,Lecco,Lombardia,097086,historical,observed_opendata_zip,80.42168674698796,2324.0,1869.0,1805,1869,PD,26.426592797783933,M5S,19.55678670360111,6.869806094182824,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097087,Verderio Inferiore,Lecco,Lombardia,097087,historical,observed_opendata_zip,82.52340615247437,2243.0,1851.0,1793,1851,PD,27.38427216954824,M5S,23.257110987172336,4.127161182375904,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097089,Vestreno,Lecco,Lombardia,097089,historical,observed_opendata_zip,62.8099173553719,242.0,152.0,142,152,Lega,28.169014084507044,PD,19.718309859154928,8.450704225352116,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,016246,Zogno,Bergamo,Lombardia,016246,historical,observed_opendata_zip,79.67412317039492,7242.0,5770.0,5478,5770,Lega,26.98064987221614,PD,21.139101861993428,5.841548010222713,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017001,Acquafredda,Brescia,Lombardia,017001,historical,observed_opendata_zip,82.4360105913504,1133.0,934.0,898,934,Il Popolo della Liberta',26.948775055679285,Lega,21.046770601336302,5.902004454342983,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017002,Adro,Brescia,Lombardia,017002,historical,observed_opendata_zip,84.5,5400.0,4563.0,4393,4563,Lega,31.93717277486911,Il Popolo della Liberta',19.44001821078989,12.49715456407922,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017003,Agnosine,Brescia,Lombardia,017003,historical,observed_opendata_zip,78.46260387811634,1444.0,1133.0,1079,1133,Lega,32.808155699721965,M5S,18.164967562557923,14.643188137164042,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017004,Alfianello,Brescia,Lombardia,017004,historical,observed_opendata_zip,81.9620253164557,1896.0,1554.0,1462,1554,PD,22.43502051983584,Il Popolo della Liberta',21.61422708618331,0.8207934336525327,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017005,Anfo,Brescia,Lombardia,017005,historical,observed_opendata_zip,74.52054794520548,365.0,272.0,259,272,Lega,22.00772200772201,PD,20.84942084942085,1.1583011583011604,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017006,Angolo Terme,Brescia,Lombardia,017006,historical,observed_opendata_zip,79.04903417533433,2019.0,1596.0,1535,1596,Il Popolo della Liberta',25.01628664495114,PD,24.69055374592834,0.32573289902279967,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012007,Azzio,Varese,Lombardia,012007,historical,observed_opendata_zip,77.74086378737542,602.0,468.0,455,468,Il Popolo della Liberta',25.054945054945055,M5S,20.87912087912088,4.175824175824175,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012009,Bardello,Varese,Lombardia,012009,historical,observed_opendata_zip,79.20203735144312,1178.0,933.0,895,933,PD,21.675977653631286,M5S,20.670391061452513,1.0055865921787728,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012010,Bedero Valcuvia,Varese,Lombardia,012010,historical,observed_opendata_zip,78.01556420233463,514.0,401.0,389,401,M5S,22.36503856041131,Il Popolo della Liberta',21.85089974293059,0.5141388174807204,populista,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012011,Besano,Varese,Lombardia,012011,historical,observed_opendata_zip,68.93576222435283,2086.0,1438.0,1384,1438,Il Popolo della Liberta',26.372832369942195,M5S,22.326589595375722,4.046242774566473,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012012,Besnate,Varese,Lombardia,012012,historical,observed_opendata_zip,78.62146892655367,4425.0,3479.0,3351,3479,PD,22.739480752014323,M5S,21.068337809609073,1.6711429424052504,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012013,Besozzo,Varese,Lombardia,012013,historical,observed_opendata_zip,76.74384525205159,6824.0,5237.0,5039,5237,PD,23.496725540781902,Il Popolo della Liberta',20.956538995832506,2.540186544949396,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012014,Biandronno,Varese,Lombardia,012014,historical,observed_opendata_zip,80.4494382022472,2670.0,2148.0,2059,2148,PD,26.663428848955807,M5S,21.029626032054395,5.633802816901412,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012015,Bisuschio,Varese,Lombardia,012015,historical,observed_opendata_zip,73.97737162750218,3447.0,2550.0,2466,2550,Il Popolo della Liberta',23.722627737226276,PD,20.154095701540957,3.568532035685319,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012016,Bodio Lomnago,Varese,Lombardia,012016,historical,observed_opendata_zip,80.55045871559633,1635.0,1317.0,1267,1317,M5S,22.573007103393845,PD,20.520915548539858,2.0520915548539875,populista,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012017,Brebbia,Varese,Lombardia,012017,historical,observed_opendata_zip,78.83211678832117,2603.0,2052.0,1972,2052,Il Popolo della Liberta',23.63083164300203,PD,22.261663286004058,1.369168356997971,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,016037,Brembate,Bergamo,Lombardia,016037,historical,observed_opendata_zip,80.40345821325649,6246.0,5022.0,4835,5022,PD,23.784901758014477,M5S,20.49638055842813,3.2885211995863486,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097050,Moggio,Lecco,Lombardia,097050,historical,observed_opendata_zip,79.55665024630541,406.0,323.0,302,323,Il Popolo della Liberta',31.788079470198678,M5S,17.549668874172188,14.23841059602649,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097051,Molteno,Lecco,Lombardia,097051,historical,observed_opendata_zip,79.96357012750455,2745.0,2195.0,2123,2195,PD,21.05511069241639,Il Popolo della Liberta',19.736222326895902,1.3188883655204897,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097055,Morterone,Lecco,Lombardia,097055,historical,observed_opendata_zip,71.875,32.0,23.0,23,23,Lega,47.82608695652174,Scelta Civica Con Monti Per l'Italia,13.043478260869565,34.78260869565218,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097058,Olgiate Molgora,Lecco,Lombardia,097058,historical,observed_opendata_zip,78.57887059804126,4799.0,3771.0,3647,3771,PD,27.968193035371534,M5S,18.206745270085,9.761447765286533,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097059,Olginate,Lecco,Lombardia,097059,historical,observed_opendata_zip,79.57969127766412,5377.0,4279.0,4106,4279,PD,27.179736970287383,M5S,20.896249391134923,6.28348757915246,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,097060,Oliveto Lario,Lecco,Lombardia,097060,historical,observed_opendata_zip,78.61702127659575,940.0,739.0,704,739,Il Popolo della Liberta',27.698863636363637,PD,21.875,5.823863636363637,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,017060,Comezzano-Cizzago,Brescia,Lombardia,017060,historical,observed_opendata_zip,84.55123113582208,2518.0,2129.0,1998,2129,Il Popolo della Liberta',30.88088088088088,Lega,24.274274274274273,6.606606606606608,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,012045,Castelveccana,Varese,Lombardia,012045,historical,observed_opendata_zip,72.15980024968789,1602.0,1156.0,1130,1156,Il Popolo della Liberta',24.24778761061947,PD,21.061946902654867,3.1858407079646014,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013211,Schignano,Como,Lombardia,013211,historical,observed_opendata_zip,70.88607594936708,711.0,504.0,480,504,Il Popolo della Liberta',29.166666666666668,PD,21.666666666666668,7.5,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013212,Senna Comasco,Como,Lombardia,013212,historical,observed_opendata_zip,82.82082820828208,2439.0,2020.0,1948,2020,M5S,24.33264887063655,PD,23.716632443531825,0.616016427104725,populista,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013216,Sorico,Como,Lombardia,013216,historical,observed_opendata_zip,76.2189054726368,1005.0,766.0,738,766,Lega,30.21680216802168,Il Popolo della Liberta',29.67479674796748,0.542005420054199,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013217,Sormano,Como,Lombardia,013217,historical,observed_opendata_zip,75.23629489603024,529.0,398.0,383,398,Il Popolo della Liberta',30.548302872062667,M5S,22.715404699738905,7.8328981723237625,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013218,Stazzona,Como,Lombardia,013218,historical,observed_opendata_zip,78.4786641929499,539.0,423.0,376,423,Lega,34.04255319148936,Il Popolo della Liberta',28.45744680851064,5.585106382978722,centro-destra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013222,Tavernerio,Como,Lombardia,013222,historical,observed_opendata_zip,75.47806524184477,4445.0,3355.0,3231,3355,PD,26.12194367069019,M5S,18.879603837821108,7.242339832869082,centro-sinistra,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013223,Torno,Como,Lombardia,013223,historical,observed_opendata_zip,80.02114164904862,946.0,757.0,726,757,Il Popolo della Liberta',23.140495867768596,PD,21.763085399449036,1.3774104683195603,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
camera_2013,2013,2013-02-24,013225,Tremezzo,Como,Lombardia,013225,historical,observed_opendata_zip,77.08333333333334,1008.0,777.0,752,777,Il Popolo della Liberta',27.925531914893615,PD,24.73404255319149,3.191489361702125,altro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
