election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,Conc.Unita'Rurale,Conc.Unita'Rurale,altro,altro,18,8.737864077669903,4.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,Pri,Pri,altro,altro,1,0.48543689320388345,8.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,M.Comb.It-Fr.Rin.Naz,M.Comb.It-Fr.Rin.Naz,altro,altro,3,1.4563106796116505,6.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,Psdi,Psdi,altro,altro,6,2.912621359223301,5.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,Dc,DC,cattolico-popolare,centro,39,18.932038834951456,2.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018127,Rognano,Pavia,Lombardia,Msi,MSI,destra nazionale,destra,1,0.48543689320388345,8.0,historical,observed_opendata_zip,018127,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018128,Romagnese,Pavia,Lombardia,Pci,PCI,sinistra storica,sinistra,201,16.235864297253634,2.0,historical,observed_opendata_zip,018128,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018128,Romagnese,Pavia,Lombardia,Psi,PSI,sinistra socialista,centro-sinistra,138,11.147011308562197,4.0,historical,observed_opendata_zip,018128,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018128,Romagnese,Pavia,Lombardia,Pdium,Pdium,altro,altro,9,0.7269789983844911,7.0,historical,observed_opendata_zip,018128,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
camera_1963,1963,1963-04-28,018128,Romagnese,Pavia,Lombardia,Pli,Pli,altro,altro,188,15.18578352180937,3.0,historical,observed_opendata_zip,018128,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
