election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
camera_1953,1953,1953-06-07,016099,Fino del Monte,Bergamo,Lombardia,Psdi,Psdi,altro,altro,24,5.825242718446602,2.0,historical,observed_opendata_zip,016099,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016099,Fino del Monte,Bergamo,Lombardia,Pri,Pri,altro,altro,1,0.24271844660194172,10.0,historical,observed_opendata_zip,016099,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016099,Fino del Monte,Bergamo,Lombardia,All.Democ.Nazionale,All.Democ.Nazionale,altro,altro,4,0.9708737864077669,8.0,historical,observed_opendata_zip,016099,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016099,Fino del Monte,Bergamo,Lombardia,Mov.Soc.Cristiano,Mov.Soc.Cristiano,altro,altro,2,0.48543689320388345,9.0,historical,observed_opendata_zip,016099,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016099,Fino del Monte,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,321,77.9126213592233,1.0,historical,observed_opendata_zip,016099,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016100,Fiorano al Serio,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,61,4.57957957957958,4.0,historical,observed_opendata_zip,016100,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016100,Fiorano al Serio,Bergamo,Lombardia,Psi,PSI,sinistra socialista,centro-sinistra,67,5.03003003003003,3.0,historical,observed_opendata_zip,016100,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016100,Fiorano al Serio,Bergamo,Lombardia,P.Naz.Monarchico,P.Naz.Monarchico,altro,altro,43,3.2282282282282284,5.0,historical,observed_opendata_zip,016100,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016100,Fiorano al Serio,Bergamo,Lombardia,Pli,Pli,altro,altro,14,1.0510510510510511,7.0,historical,observed_opendata_zip,016100,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016142,Mozzanica,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,181,12.800565770862802,3.0,historical,observed_opendata_zip,016142,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016142,Mozzanica,Bergamo,Lombardia,Psi,PSI,sinistra socialista,centro-sinistra,329,23.26732673267327,2.0,historical,observed_opendata_zip,016142,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Psi,PSI,sinistra socialista,centro-sinistra,107,11.263157894736842,2.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,P.Naz.Monarchico,P.Naz.Monarchico,altro,altro,17,1.789473684210526,6.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Pli,Pli,altro,altro,15,1.5789473684210527,7.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Msi,MSI,destra nazionale,destra,27,2.8421052631578947,5.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Psdi,Psdi,altro,altro,48,5.052631578947368,4.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Unita'Popolare,Unita'Popolare,altro,altro,11,1.1578947368421053,8.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Pri,Pri,altro,altro,2,0.21052631578947367,9.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,All.Democ.Nazionale,All.Democ.Nazionale,altro,altro,2,0.21052631578947367,9.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016143,Mozzo,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,658,69.26315789473684,1.0,historical,observed_opendata_zip,016143,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016144,Nembro,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,156,3.4782608695652173,4.0,historical,observed_opendata_zip,016144,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016144,Nembro,Bergamo,Lombardia,Psi,PSI,sinistra socialista,centro-sinistra,536,11.950947603121516,2.0,historical,observed_opendata_zip,016144,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016144,Nembro,Bergamo,Lombardia,P.Naz.Monarchico,P.Naz.Monarchico,altro,altro,52,1.1594202898550725,6.0,historical,observed_opendata_zip,016144,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016144,Nembro,Bergamo,Lombardia,Pli,Pli,altro,altro,43,0.9587513935340023,7.0,historical,observed_opendata_zip,016144,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
camera_1953,1953,1953-06-07,016144,Nembro,Bergamo,Lombardia,Msi,MSI,destra nazionale,destra,70,1.560758082497213,5.0,historical,observed_opendata_zip,016144,official_eligendo_opendata_zip|geometry_name_province|share_recomputed_from_valid_votes
