election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,48,16.3265306122449,2.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,31,10.54421768707483,3.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,PLI-PRI,PLI,liberale,centro-destra,27,9.183673469387756,4.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,PSDI,PSDI,socialdemocratico,centro-sinistra,22,7.482993197278912,5.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,P.RAD,Radicali,radicale,liberale,13,4.421768707482993,6.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,MSI-DN,Destra naz.,destra nazionale,destra,3,1.0204081632653061,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,LIGA VENETA,Liga Veneta,regionalista,regionalista,3,1.0204081632653061,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,DEM.PROL,PDUP / DemProl,sinistra storica,sinistra,1,0.3401360544217687,8.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001003,Ala di Stura,Torino,Piemonte,UV-PS.D'AZ.,UV - PSd'Az,regionalista,regionalista,1,0.3401360544217687,8.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,458,43.49477682811016,1.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
