election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
camera_1948,1948,1948-04-18,001002,Airasca,Torino,Piemonte,Conc.Naz.Combat.Unit,Conc.Naz.Combat.Unit,altro,altro,2,0.21141649048625794,9.0,harmonized,projected_to_2021_geometry,001002,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001002,Airasca,Torino,Piemonte,P.Demolaburista It.,P.Demolaburista It.,altro,altro,2,0.21141649048625794,9.0,harmonized,projected_to_2021_geometry,001002,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001002,Airasca,Torino,Piemonte,Fr.Degli Italiani,Fr.Degli Italiani,altro,altro,1,0.10570824524312897,10.0,harmonized,projected_to_2021_geometry,001002,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Dc,DC,cattolico-popolare,centro,225,54.47941888619855,1.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Unita' Socialista,PSI,sinistra socialista,centro-sinistra,94,22.760290556900724,2.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Fr.Democr.Popolare,Fr.Democr.Popolare,sinistra storica,sinistra,59,14.285714285714285,3.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,P.Naz.Mon.All.D.Lav.,P.Naz.Mon.All.D.Lav.,monarchico,destra,11,2.663438256658596,4.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Msi,MSI,destra nazionale,destra,9,2.1791767554479415,5.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Pri,Pri,laico-repubblicano,centro,9,2.1791767554479415,5.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Conc.Naz.Combat.Unit,Conc.Naz.Combat.Unit,altro,altro,2,0.48426150121065376,6.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Blocco Nazionale,Blocco Nazionale,liberale-conservatore,centro-destra,1,0.24213075060532688,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,P.Contadini d'Italia,P.Contadini d'Italia,agrario,centro,1,0.24213075060532688,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,P.Demolaburista It.,P.Demolaburista It.,altro,altro,1,0.24213075060532688,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001003,Ala di Stura,Torino,Piemonte,Partito Cristiano Sociale,Partito Cristiano Sociale,cattolico-popolare,centro-sinistra,1,0.24213075060532688,7.0,harmonized,projected_to_2021_geometry,001003,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001004,Albiano d'Ivrea,Torino,Piemonte,Dc,DC,cattolico-popolare,centro,502,51.69927909371782,1.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001004,Albiano d'Ivrea,Torino,Piemonte,Unita' Socialista,PSI,sinistra socialista,centro-sinistra,221,22.760041194644696,2.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
camera_1948,1948,1948-04-18,001004,Albiano d'Ivrea,Torino,Piemonte,P.Contadini d'Italia,P.Contadini d'Italia,agrario,centro,89,9.165808444902163,3.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
